system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,NO3,cloud_cover,date,elev,img_qual,lat,lon,ppt,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_1_LT05_014029_19840617_0000000000000000000e,588.0,16,853.0,917.0,2493.0,2626.0,2929.0,1598.0,0.79,4.0,1984-06-17,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,125.069244,30.536041,172.0,0.0,
1_1_LT05_014029_19840820_0000000000000000000e,491.0,16,837.0,828.0,2980.0,2374.0,2906.0,1455.0,0.79,15.0,1984-08-20,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,135.719574,39.906494,48.0,0.0,
1_1_LT05_014029_19850620_0000000000000000000e,457.0,16,764.0,676.0,2949.0,2172.0,2902.0,1330.0,0.79,47.0,1985-06-20,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,125.37912,30.356674,150.0,0.0,
1_1_LT05_014029_19850722_0000000000000000000e,366.0,16,683.0,572.0,3452.0,2181.0,2929.0,1153.0,0.79,11.0,1985-07-22,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,127.391617,33.636768,52.0,0.0,
1_1_LT05_014029_19860826_0000000000000000000e,390.0,16,671.0,617.0,3131.0,2516.0,2888.0,1303.0,0.79,2.0,1986-08-26,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,134.944824,42.380886,67.0,0.0,
1_1_LT05_014029_19870610_0000000000000000000e,406.0,16,789.0,634.0,3373.0,2518.0,2893.0,1320.0,0.79,0.0,1987-06-10,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,124.821274,31.144802,93.0,0.0,
1_1_LT05_014029_19870813_0000000000000000000e,386.0,16,687.0,605.0,3519.0,2369.0,2947.0,1150.0,0.79,0.0,1987-08-13,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,132.115128,38.380692,70.0,0.0,
1_1_LT05_014029_19870914_0000000000000000000e,563.0,13,813.0,815.0,3191.0,2396.0,2860.0,1183.0,0.79,23.0,1987-09-14,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,143.367203,47.038437,108.0,4.0,
1_1_LT05_014029_19880612_0000000000000000000e,583.0,16,917.0,783.0,3573.0,2621.0,2915.0,1377.0,0.79,23.0,1988-06-12,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,126.4487,30.240322,349.0,0.0,
1_1_LT05_014029_19880628_0000000000000000000e,489.0,16,847.0,717.0,4000.0,2724.0,2929.0,1409.0,0.79,56.0,1988-06-28,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,125.199303,30.678928,126.0,0.0,
