system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,date,img_qual,lat,lon,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_1_LT05_014029_19840601_0000000000000000000e,1388.0,16,1402.0,1236.0,1933.0,1383.0,2802.0,1012.0,26.0,1984-06-01,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,127.600708,31.119392,143.0,4.0,
1_1_LT05_014029_19840617_0000000000000000000e,588.0,16,853.0,917.0,2493.0,2626.0,2929.0,1598.0,4.0,1984-06-17,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,125.069244,30.536041,172.0,0.0,
1_1_LT05_014029_19840703_0000000000000000000e,1754.0,16,1709.0,1712.0,3376.0,2423.0,2708.0,1913.0,34.0,1984-07-03,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,124.605713,31.357433,490.0,2.0,
1_1_LT05_014029_19840719_0000000000000000000e,3398.0,16,4731.0,4752.0,5885.0,4446.0,2761.0,3343.0,35.0,1984-07-19,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,126.542961,33.313076,297.0,2.0,
1_1_LT05_014029_19840820_0000000000000000000e,491.0,16,837.0,828.0,2980.0,2374.0,2906.0,1455.0,15.0,1984-08-20,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,135.719574,39.906494,48.0,0.0,
1_1_LT05_014029_19840905_0000000000000000000e,1762.0,16,1731.0,1652.0,2577.0,1646.0,2771.0,1207.0,58.0,1984-09-05,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,141.348831,44.303341,189.0,2.0,
1_1_LT05_014029_19840921_0000000000000000000e,3665.0,16,4074.5,4061.0,5426.0,4757.0,2708.0,4233.0,19.0,1984-09-21,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,146.66835,49.245525,9.0,2.0,
1_1_LT05_014029_19850503_0000000000000000000e,20000.0,16,5562.0,5521.0,5758.0,2514.0,2364.0,1944.0,98.0,1985-05-03,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,135.224014,35.938431,155.0,34.0,
1_1_LT05_014029_19850604_0000000000000000000e,809.0,16,1103.0,980.0,2960.0,2189.0,2826.0,1224.0,20.0,1985-06-04,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,127.746941,30.632408,323.0,4.0,
1_1_LT05_014029_19850620_0000000000000000000e,457.0,16,764.0,676.0,2949.0,2172.0,2902.0,1330.0,47.0,1985-06-20,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,125.37912,30.356674,150.0,0.0,
1_1_LT05_014029_19850706_0000000000000000000e,20000.0,16,4050.0,3733.0,4557.0,2372.0,2640.0,1540.0,67.0,1985-07-06,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,125.207512,31.448372,457.0,2.0,
1_1_LT05_014029_19850722_0000000000000000000e,366.0,16,683.0,572.0,3452.0,2181.0,2929.0,1153.0,11.0,1985-07-22,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,127.391617,33.636768,52.0,0.0,
