network,siteid,siteName,county,state,latitude,longitude,elevation,status,startdate,stopdate
NTN,AB32,Fort Mackay,,AB,57.2096,-111.6471,265,A,13-09-16 5:00,
NTN,AB34,Stony Mountain,,AB,55.6214,-111.1727,673,A,24-04-19 5:00,
NTN,AG01,Laurenti-MAR,,AG,-30.9501,-62.8244,83,I,24-10-11 5:00,08-01-18 6:00
NTN,AK01,Poker Creek,Fairbanks North Star,AK,65.155,-147.491,230,A,29-12-92 6:00,
NTN,AK02,Juneau,Juneau,AK,58.5139,-134.7843,25,A,22-06-04 5:00,
NTN,AK03,Denali National Park,Denali,AK,63.7232,-148.9676,661,A,17-06-80 5:00,
NTN,AK06,Gates of the Arctic National Park - Bettles,Yukon-Koyukuk,AK,66.906,-151.683,630,I,04-11-08 6:00,27-10-15 5:00
NTN,AK96,Toolik Field Station,North Slope Borough,AK,68.6257,-149.6069,730,A,12-10-17 5:00,
NTN,AK97,Katmai National Park - King Salmon,Bristol Bay,AK,58.6794,-156.6664,50,A,02-11-09 6:00,
NTN,AK99,Ambler,Northwest Arctic,AK,67.0931,-157.8689,88,I,12-05-04 5:00,09-08-05 5:00
NTN,AL02,Delta Elementary,Baldwin,AL,30.7907,-87.8498,66,I,05-06-01 5:00,05-01-10 6:00
NTN,AL03,Centreville,Bibb,AL,32.9034,-87.2499,135,I,22-02-11 6:00,13-12-16 6:00
NTN,AL10,Black Belt Research & Extension Center,Dallas,AL,32.4583,-87.2422,58,A,31-08-83 5:00,
NTN,AL19,Birmingham,Jefferson,AL,33.553,-86.8148,200,I,19-12-12 6:00,18-10-16 5:00
NTN,AL24,Bay Road,Mobile,AL,30.4746,-88.1411,6,I,29-05-01 5:00,05-01-10 6:00
NTN,AL99,Sand Mountain Research & Extension Center,DeKalb,AL,34.2886,-85.9699,349,A,02-10-84 5:00,
NTN,AR02,Warren 2WSW,Bradley,AR,33.605,-92.0972,76,A,25-05-82 5:00,
NTN,AR03,Caddo Valley,Clark,AR,34.1795,-93.0992,71,A,30-12-83 6:00,
NTN,AR16,Buffalo National River-Buffalo Point,Marion,AR,36.0842,-92.5868,311,A,13-07-82 5:00,
NTN,AR27,Fayetteville,Washington,AR,36.1011,-94.1737,381,A,13-05-80 5:00,
NTN,AS01,Samoa,,AS,-14.2525,-170.5633,82,I,20-05-80 5:00,13-10-92 5:00
NTN,AZ01,Tombstone,Cochise,AZ,31.7089,-110.0572,1398,I,27-03-79 6:00,01-09-81 5:00
NTN,AZ03,Grand Canyon National Park-Hopi Point,Coconino,AZ,36.0586,-112.184,2071,A,11-08-81 5:00,
NTN,AZ06,Organ Pipe Cactus National Monument,Pima,AZ,31.9492,-112.802,501,A,15-04-80 5:00,
NTN,AZ97,Petrified Forest National Park-Rainbow Forest,Apache,AZ,34.8224,-109.8925,1707,A,03-12-02 6:00,
NTN,AZ98,Chiricahua,Cochise,AZ,32.0097,-109.3889,1570,A,23-02-99 6:00,
NTN,AZ99,Oliver Knoll,Graham,AZ,33.0708,-109.866,1176,A,25-08-81 5:00,
NTN,BC22,Haul Road Station,,BC,54.0294,-128.7019,10,A,19-09-12 5:00,
NTN,BC23,Lakelse Lake,,BC,54.3772,-128.5775,111,A,20-03-13 5:00,
NTN,BC24,Port Edward,,BC,54.2226,-130.2696,80,A,15-01-14 6:00,
NTN,CA28,Kings River Experimental Watershed,Fresno,CA,37.0592,-119.1822,2000,A,24-04-07 5:00,
NTN,CA34,Bishop,Inyo,CA,37.3708,-118.3664,1252,I,15-04-80 5:00,22-06-82 5:00
NTN,CA42,Tanbark Flat,Los Angeles,CA,34.2071,-117.7618,853,A,12-01-82 6:00,
NTN,CA45,Hopland,Mendocino,CA,39.0045,-123.086,253,A,03-10-79 5:00,
NTN,CA50,Sagehen Creek,Nevada,CA,39.4315,-120.2397,1931,A,06-11-01 6:00,
NTN,CA66,Pinnacles National Monument-Bear Valley,San Benito,CA,36.4834,-121.157,317,A,02-11-99 6:00,
NTN,CA67,Joshua Tree National Park-Black Rock,San Bernardino,CA,34.0695,-116.3889,1239,A,19-09-00 5:00,
NTN,CA68,Palomar Mountain,San Diego,CA,33.3089,-116.8539,1695,I,15-03-83 6:00,12-01-88 6:00
NTN,CA75,Sequoia National Park-Giant Forest,Tulare,CA,36.5661,-118.778,1921,A,08-07-80 5:00,
NTN,CA76,Montague,Siskiyou,CA,41.7662,-122.4798,799,A,25-06-85 5:00,
NTN,CA85,Channel Islands National Park,Ventura,CA,34.0158,-119.3619,49,I,22-07-80 5:00,19-02-82 6:00
NTN,CA88,Davis,Yolo,CA,38.5357,-121.7762,18,A,04-09-78 5:00,
NTN,CA94,Converse Flats,San Bernardino,CA,34.1938,-116.9131,1724,A,09-05-06 5:00,
NTN,CA95,Death Valley National Park-Cow Creek,Inyo,CA,36.589,-116.978,125,I,08-02-00 6:00,31-05-05 5:00
NTN,CA96,Lassen Volcanic National Park-Manzanita Lake,Shasta,CA,40.539,-121.5772,1754,A,13-06-00 5:00,
NTN,CA98,Chuchupate Ranger Station,Ventura,CA,34.8061,-119.0114,1614,I,02-08-83 5:00,23-01-96 6:00
NTN,CA99,Yosemite National Park-Hodgdon Meadow,Tuolumne,CA,37.7961,-119.8581,1393,A,08-12-81 6:00,
NTN,CAN1,Lethbridge,Lethbridge,CN,49.6369,-112.7878,913,I,28-04-81 5:00,03-04-84 5:00
NTN,CAN2,Mount Forest,Wellington,CN,43.9914,-80.7461,410,I,05-05-81 5:00,20-03-84 6:00
NTN,CAN3,Kejimkujik National Park,Queens,CN,44.4328,-65.2056,152,I,12-05-81 5:00,03-04-84 5:00
NTN,CAN4,Sutton,Brome,QB,45.0761,-72.6756,244,I,16-09-86 5:00,02-10-01 5:00
NTN,CAN5,Frelighsburg,Brome,QB,45.041,-72.8581,195,A,02-10-01 5:00,
NTN,CAN6,Frelighsburg - Intercomparison,Brome,QB,45.0503,-72.8617,195,I,06-10-11 5:00,18-09-12 5:00
NTN,CO00,Alamosa,Alamosa,CO,37.4421,-105.868,2285,A,22-04-80 5:00,
NTN,CO01,Las Animas Fish Hatchery,Bent,CO,38.1177,-103.316,1226,A,04-10-83 5:00,
NTN,CO02,Niwot Saddle,Boulder,CO,40.0547,-105.5891,3520,A,05-06-84 5:00,
NTN,CO08,Four Mile Park,Garfield,CO,39.4025,-107.3454,2502,A,29-12-87 6:00,
NTN,CO09,Kawuneechee Meadow,Grand,CO,40.2603,-105.8292,2633,A,10-07-12 5:00,
NTN,CO10,Gothic,Gunnison,CO,38.9561,-106.986,2915,A,02-02-99 6:00,
NTN,CO13,Fort Collins,Larimer,CO,40.5923,-105.1414,1570,A,04-12-18 6:00,
NTN,CO15,Sand Spring,Moffat,CO,40.5077,-107.7025,1998,A,20-03-79 6:00,
NTN,CO18,Ripple Creek Pass,Rio Blanco,CO,40.0851,-107.3118,2929,I,13-05-03 5:00,13-01-09 6:00
NTN,CO19,Rocky Mountain National Park-Beaver Meadows,Larimer,CO,40.3639,-105.581,2477,A,29-05-80 5:00,
NTN,CO21,Manitou,Teller,CO,39.1008,-105.0933,2362,A,17-10-78 5:00,
NTN,CO22,Pawnee,Weld,CO,40.806,-104.756,1641,A,22-05-79 5:00,
NTN,CO83,Timnath,Larimer,CO,40.5194,104.96,,A,03-03-20 6:00,
NTN,CO89,Rocky Mountain National Park-Loch Vale,Larimer,CO,40.2878,-105.6628,3159,I,29-09-09 5:00,30-09-14 5:00
