"","system.index","B1_median","B2_count","B2_median","B3_median","B4_median","B5_median","cloud_cover","date","img_qual","lat","lon","radsat_qa_median","sensor","solar_az","solar_zen","sr_atmos_opacity_median","sr_cloud_qa_median",".geo","dvi","date1","year","prediction"
"90","1_1_LT05_011029_20100620_23",343,15,588,382,3797,1507,49,"20-06-10",9,45.1025647,-68.93595678,0,"LANDSAT_5",133.190552,27.517834,285,0,NA,3415,2010-06-20,2010,0.416067333333333
"91","1_1_LT05_011029_20110607_23",368,15,673,429,3662,1606,47,"07-06-11",9,45.1025647,-68.93595678,0,"LANDSAT_5",134.625061,27.889141,144,0,NA,3233,2011-06-07,2011,1.43361266666667
"92","1_1_LT05_011029_20110927_23",259,15,430,372,1959,1128,0,"27-09-11",9,45.1025647,-68.93595678,0,"LANDSAT_5",153.953537,49.417561,9,0,NA,1587,2011-09-27,2011,1.19464433333334
"118","1_1_LT05_012028_20100814_23",415,15,632,513,2814,1400,33,"14-08-10",9,45.1025647,-68.93595678,0,"LANDSAT_5",142.695938,36.745861,37,0,NA,2301,2010-08-14,2010,0.130608333333333
"119","1_1_LT05_012028_20110716_23",205,6,404,273,3016,1264,1,"16-07-11",9,45.1025647,-68.93595678,0,"LANDSAT_5",135.611221,30.81382,45,1,NA,2743,2011-07-16,2011,1.00399966666666
"120","1_1_LT05_012028_20110918_23",220,13,327,279,2143,1101,12,"18-09-11",9,45.1025647,-68.93595678,0,"LANDSAT_5",152.60997,47.476318,9,1,NA,1864,2011-09-18,2011,0.607533000000001
"248","1_1_LT05_012029_20100526_23",94,6,202,132,901,246,23,"26-05-10",9,45.1025647,-68.93595678,0,"LANDSAT_5",137.702087,28.839123,97,8,NA,769,2010-05-26,2010,1.477064
"249","1_1_LT05_012029_20100526_44",305,15,499,319,3827,1555,23,"26-05-10",9,44.1336316,-70.53734894,0,"LANDSAT_5",137.702087,28.839123,144,0,NA,3508,2010-05-26,2010,1.03982599999999
"250","1_1_LT05_012029_20100814_23",413,15,630,512,2808,1397,21,"14-08-10",9,45.1025647,-68.93595678,0,"LANDSAT_5",140.888763,35.813065,41,0,NA,2296,2010-08-14,2010,0.153022333333333
"251","1_1_LT05_012029_20100814_44",291,15,453,336,3465,1452,21,"14-08-10",9,44.1336316,-70.53734894,0,"LANDSAT_5",140.888763,35.813065,96,0,NA,3129,2010-08-14,2010,1.052008
"252","1_1_LT05_012029_20100830_44",187,15,334,225,3113,1295,0,"30-08-10",9,44.1336316,-70.53734894,0,"LANDSAT_5",146.08519,40.24477,63,1,NA,2888,2010-08-30,2010,1.67029066666667
"253","1_1_LT05_012029_20110716_23",205,6,404,272,3018,1288,1,"16-07-11",9,45.1025647,-68.93595678,0,"LANDSAT_5",133.24559,30.028893,46,1,NA,2746,2011-07-16,2011,1.07803766666666
"254","1_1_LT05_012029_20110716_44",200,15,388,256,3535,1438,1,"16-07-11",9,44.1336316,-70.53734894,0,"LANDSAT_5",133.24559,30.028893,96,0,NA,3279,2011-07-16,2011,1.085331
"255","1_1_LT05_012029_20110801_44",202,15,415,274,3337,1398,16,"01-08-11",9,44.1336316,-70.53734894,0,"LANDSAT_5",136.524231,32.917233,140,1,NA,3063,2011-08-01,2011,0.867186666666662
"256","1_1_LT05_012029_20110817_44",201,15,312,213,3107,1333,0,"17-08-11",9,44.1336316,-70.53734894,0,"LANDSAT_5",141.216293,36.691944,48,1,NA,2894,2011-08-17,2011,1.589582
"257","1_1_LT05_012029_20110902_44",251,15,408,256,2939,1288,4,"02-09-11",9,44.1336316,-70.53734894,0,"LANDSAT_5",146.449234,41.236572,129,1,NA,2683,2011-09-02,2011,1.240049
"258","1_1_LT05_012029_20110918_23",202,13,329,280,2189,1132,38,"18-09-11",9,45.1025647,-68.93595678,0,"LANDSAT_5",151.456131,46.367664,9,1,NA,1909,2011-09-18,2011,0.679504666666668
"360","1_1_LT05_015031_20100515_99",346,15,733,410,4399,1989,35,"15-05-10",9,42.14291585,-76.52205325,0,"LANDSAT_5",135.650803,28.957851,144,0,NA,3989,2010-05-15,2010,0.361646666666666
"361","1_1_LT05_015031_20100531_99",312,12,551,340,5006,2173,8,"31-05-10",9,42.14291585,-76.52205325,0,"LANDSAT_5",131.329712,26.679317,192,0,NA,4666,2010-05-31,2010,0.966559666666667
"362","1_1_LT05_015031_20100702_99",292,15,493,340,4430,1996,21,"02-07-10",9,42.14291585,-76.52205325,0,"LANDSAT_5",127.269966,26.799255,145,0,NA,4090,2010-07-02,2010,0.645332999999999
"363","1_1_LT05_015031_20100718_99",227,15,448,274,3927,1766,16,"18-07-10",9,42.14291585,-76.52205325,0,"LANDSAT_5",129.169388,28.721104,113,0,NA,3653,2010-07-18,2010,0.81484066666666
"364","1_1_LT05_015031_20100920_99",317,15,503,370,3931,2066,17,"20-09-10",9,42.14291585,-76.52205325,0,"LANDSAT_5",150.302383,44.756004,82,0,NA,3561,2010-09-20,2010,1.06832633333333
"365","1_1_LT05_015031_20110603_99",248,15,514,306,4583,1999,0,"03-06-11",9,42.14291585,-76.52205325,0,"LANDSAT_5",130.128555,26.636909,61,0,NA,4277,2011-06-03,2011,-0.497069666666667
"366","1_1_LT05_015031_20110619_99",405,15,641,426,4655,1925,41,"19-06-11",9,42.14291585,-76.52205325,0,"LANDSAT_5",127.241882,26.263573,236,0,NA,4229,2011-06-19,2011,0.820436666666665
"367","1_1_LT05_015031_20110705_99",309,15,499,330,4603,2038,0,"05-07-11",9,42.14291585,-76.52205325,0,"LANDSAT_5",126.867683,27.265713,151,0,NA,4273,2011-07-05,2011,1.15502633333333
"368","1_1_LT05_015031_20110721_99",254,15,468,300,4455,2023,1,"21-07-11",9,42.14291585,-76.52205325,0,"LANDSAT_5",129.214203,29.357269,193,0,NA,4155,2011-07-21,2011,0.291884666666666
"467","1_1_LT05_015033_20100531_27",395,16,578,443,3370,1440,3,"31-05-10",9,39.41440719,-76.37678815,0,"LANDSAT_5",125.589668,25.322884,304,0,NA,2927,2010-05-31,2010,1.47853666666667
"468","1_1_LT05_015033_20100702_27",219,3,352,264,2723,1020,14,"02-07-10",9,39.41440719,-76.37678815,0,"LANDSAT_5",121.375259,25.632645,143,1,NA,2459,2010-07-02,2010,1.110068
"469","1_1_LT05_015033_20100718_27",486,16,701,469,3157,1407,44,"18-07-10",9,39.41440719,-76.37678815,0,"LANDSAT_5",123.787994,27.45253,378,0,NA,2688,2010-07-18,2010,0.128089666666667
"470","1_1_LT05_015033_20100920_27",220,16,376,322,2090,1136,0,"20-09-10",9,39.41440719,-76.37678815,0,"LANDSAT_5",147.81839,42.58136,9,0,NA,1768,2010-09-20,2010,0.709313666666668
"471","1_1_LT05_015033_20110603_27",284,16,554,433,3375,1487,24,"03-06-11",9,39.41440719,-76.37678815,0,"LANDSAT_5",124.311996,25.333405,51,0,NA,2942,2011-06-03,2011,-0.416543333333334
"472","1_1_LT05_015033_20110705_27",364,16,572,469,3174,1455,8,"05-07-11",9,39.41440719,-76.37678815,0,"LANDSAT_5",121.078003,26.112514,254,0,NA,2705,2011-07-05,2011,0.308094666666666
"473","1_1_LT05_015033_20110721_27",409,16,581,438,3096,1428,4,"21-07-11",9,39.41440719,-76.37678815,0,"LANDSAT_5",123.963585,28.082859,386,0,NA,2658,2011-07-21,2011,-0.144620666666667
"474","1_1_LT05_015033_20110822_27",252,16,408,297,2617,1276,7,"22-08-11",9,39.41440719,-76.37678815,0,"LANDSAT_5",135.600647,34.430595,31,1,NA,2320,2011-08-22,2011,1.35712433333333
"569","1_1_LT05_016031_20100522_99",449,15,721,523,3990,1728,80,"22-05-10",9,42.14291585,-76.52205325,0,"LANDSAT_5",133.710358,27.755352,153,0,NA,3467,2010-05-22,2010,1.37793700000001
"570","1_1_LT05_016031_20100826_99",426,15,581,413,4208,1958,60,"26-08-10",9,42.14291585,-76.52205325,0,"LANDSAT_5",141.490768,37.134125,326,0,NA,3795,2010-08-26,2010,0.643987666666666
"571","1_1_LT05_016031_20100911_99",171,15,357,297,3358,1724,9,"11-09-10",9,42.14291585,-76.52205325,0,"LANDSAT_5",147.302444,41.863907,9,0,NA,3061,2010-09-11,2010,0.869403333333332
"572","1_1_LT05_016031_20110712_99",302,15,431,280,4577,1918,32,"12-07-11",9,42.14291585,-76.52205325,0,"LANDSAT_5",127.570381,28.057201,193,0,NA,4297,2011-07-12,2011,0.840010999999998
"573","1_1_LT05_016031_20110829_99",356,15,538,383,3870,1698,53,"29-08-11",9,42.14291585,-76.52205325,0,"LANDSAT_5",141.962372,38.084076,161,0,NA,3487,2011-08-29,2011,1.23539
"664","1_1_LT05_016032_20100506_54",501,14,936,937,5202,2726,6,"06-05-10",9,40.37248611,-78.22833428,0,"LANDSAT_5",135.793747,30.078941,53,0,NA,4265,2010-05-06,2010,-2.103169
"665","1_1_LT05_016032_20100607_54",594,14,922,799,4848,2406,69,"07-06-10",9,40.37248611,-78.22833428,0,"LANDSAT_5",126.80278,25.531128,314,4,NA,4049,2010-06-07,2010,-2.40724566666666
"666","1_1_LT05_016032_20100623_54",634,14,928,874,5116,2664,55,"23-06-10",9,40.37248611,-78.22833428,0,"LANDSAT_5",124.436493,25.58905,385,0,NA,4242,2010-06-23,2010,-3.41785533333333
"667","1_1_LT05_016032_20100709_54",1487,14,1565,1276,5505,2907,48,"09-07-10",9,40.37248611,-78.22833428,0,"LANDSAT_5",124.971581,26.884514,964,0,NA,4229,2010-07-09,2010,-2.458993
"668","1_1_LT05_016032_20100810_54",701,14,926,805,4505,2899,45,"10-08-10",9,40.37248611,-78.22833428,0,"LANDSAT_5",133.549393,32.288074,472,0,NA,3700,2010-08-10,2010,-0.929219999999999
"669","1_1_LT05_016032_20100911_54",1043,14,1352,1471,3890,2915,41,"11-09-10",9,40.37248611,-78.22833428,0,"LANDSAT_5",145.90802,40.818127,289,0,NA,2419,2010-09-11,2010,-1.66705166666666
"670","1_1_LT05_016032_20110509_54",583,14,940,909,4842,2799,5,"09-05-11",9,40.37248611,-78.22833428,0,"LANDSAT_5",134.530975,29.600521,20,0,NA,3933,2011-05-09,2011,-0.959053666666665
"671","1_1_LT05_016032_20110525_54",815,14,1229,1280,3816,2884,27,"25-05-11",9,40.37248611,-78.22833428,0,"LANDSAT_5",129.766769,26.809177,527,0,NA,2536,2011-05-25,2011,-2.34617133333333
"672","1_1_LT05_016032_20110610_54",599,14,952,924,4131,2856,7,"10-06-11",9,40.37248611,-78.22833428,0,"LANDSAT_5",125.70153,25.645035,288,0,NA,3207,2011-06-10,2011,-1.71159533333333
"782","1_1_LT05_016041_20100506_84",474,14,769,693,2714,2214,25,"06-05-10",9,27.84321888,-81.0018714,0,"LANDSAT_5",110.828094,24.756203,108,0,NA,2021,2010-05-06,2010,-3.093518
"783","1_1_LT05_016041_20100522_84",600,1,854,647,3877,1967,24,"22-05-10",9,27.84321888,-81.0018714,0,"LANDSAT_5",102.349678,23.092392,140,4,NA,3230,2010-05-22,2010,0.731970999999998
"784","1_1_LT05_016041_20100623_84",329,14,670,416,4641,1821,22,"23-06-10",9,27.84321888,-81.0018714,0,"LANDSAT_5",94.134041,23.388016,80,0,NA,4225,2010-06-23,2010,0.835698333333332
"785","1_1_LT05_016041_20100709_84",422,14,718,473,4000,1639,2,"09-07-10",9,27.84321888,-81.0018714,0,"LANDSAT_5",96.262009,24.381264,195,0,NA,3527,2010-07-09,2010,1.31403766666667
"786","1_1_LT05_016041_20100725_84",427,14,658,433,4188,1728,27,"25-07-10",9,27.84321888,-81.0018714,0,"LANDSAT_5",102.067558,25.627731,64,0,NA,3755,2010-07-25,2010,0.906774333333332
"787","1_1_LT05_016041_20110509_84",415,14,651,599,2074,2206,6,"09-05-11",9,27.84321888,-81.0018714,0,"LANDSAT_5",108.970024,24.60733,19,0,NA,1475,2011-05-09,2011,-1.88019733333333
"788","1_1_LT05_016041_20110525_84",543,1,755,766,2400,2595,9,"25-05-11",9,27.84321888,-81.0018714,0,"LANDSAT_5",100.793381,23.228188,122,0,NA,1634,2011-05-25,2011,-0.170821000000001
"789","1_1_LT05_016041_20110626_84",755,14,1059,1045,2405,2601,82,"26-06-11",9,27.84321888,-81.0018714,0,"LANDSAT_5",93.99659,23.835327,94,0,NA,1360,2011-06-26,2011,0.324382166666667
"790","1_1_LT05_016041_20110712_84",357,14,489,529,1074,1644,34,"12-07-11",9,27.84321888,-81.0018714,0,"LANDSAT_5",96.772499,24.887451,122,0,NA,545,2011-07-12,2011,-0.156325904761905
"791","1_1_LT05_016041_20110930_84",264,14,476,422,1782,1252,18,"30-09-11",9,27.84321888,-81.0018714,0,"LANDSAT_5",140.013565,37.566154,38,0,NA,1360,2011-09-30,2011,1.27817066666667
"897","1_1_LT05_017039_20100513_86",572,15,752,710,3265,1702,24,"13-05-10",9,30.29644523,-83.18570297,0,"LANDSAT_5",113.605743,24.389244,283,4,NA,2555,2010-05-13,2010,-2.91643933333333
"898","1_1_LT05_017039_20100529_86",483,16,743,671,2769,1634,24,"29-05-10",9,30.29644523,-83.18570297,0,"LANDSAT_5",106.384613,23.001022,207,0,NA,2098,2010-05-29,2010,-0.822258333333332
"899","1_1_LT05_017039_20100614_86",494,16,678,557,2720,1755,3,"14-06-10",9,30.29644523,-83.18570297,0,"LANDSAT_5",101.907791,22.938751,289,0,NA,2163,2010-06-14,2010,-1.45267266666667
"900","1_1_LT05_017039_20100817_86",414,6,569,439,3026,1265,18,"17-08-10",9,30.29644523,-83.18570297,0,"LANDSAT_5",120.178978,29.055515,222,0,NA,2587,2010-08-17,2010,-1.106577
"901","1_1_LT05_017039_20100902_86",509,4,713,582,3315,1648,26,"02-09-10",9,30.29644523,-83.18570297,0,"LANDSAT_5",129.451172,32.127678,225,4,NA,2733,2010-09-02,2010,1.08478866666667
"902","1_1_LT05_017039_20100918_86",341,16,539,441,2695,1264,14,"18-09-10",9,30.29644523,-83.18570297,0,"LANDSAT_5",138.093597,36.017262,148,0,NA,2254,2010-09-18,2010,-0.149446333333334
